Name,Title,Betweenness Centrality,Closeness Centrality,Clustering Coefficient,Custom Menu Item Action,Custom Menu Item Text,Description,Eigenvector Centrality,Favorites,Followed,Followers,ID,Image File,In-Degree,Joined Twitter Date (UTC),Label,Layout Order,Location,louvain,Opacity,Out-Degree,PageRank,Reciprocated Vertex Pair Ratio,Shape,Size,Time Zone,Time Zone UTC Offset (Seconds),Tooltip,Tweets,Web,X,Y
REX_GRAVES,REX_GRAVES,1346.462175,0.000624,0.254734848484849,http://twitter.com/REX_GRAVES,Open Twitter Page for This Person,"Knoxville TN former  marine FAST TEAM. pro Israel,  pro life Republican conservative. loving father, Templar.#TGDN",0.000139,57,2646,2646,118,http://a0.twimg.com/profile_images/2581250336/knJqF6LQ_normal,27,9/6/2012 1:52:48 AM,REX_GRAVES,74.6481442300197,,1.0,99.7790113695839,31,1.304633,0.696969696969697,Image,180.737365261731,Eastern Time (US & Canada),-18000,"REX_GRAVES

RT @JC7109: Obama Fun Facts.....
#my2k #tcot #mapoli http://t.co/ZkBMoDSA",3532,,1937.83337402344,4622.58203125
smoneill59,smoneill59,34.673756,0.000541,0.625,http://twitter.com/smoneill59,Open Twitter Page for This Person,"Loving husband, caring father, loyal son, fun brother, duty to God and country, conservative.",2.8E-05,113,159,438,397,http://a0.twimg.com/profile_images/2734921651/c1640749e9de655ecabb3caf5c9eda53_normal.jpeg,8,10/16/2012 1:25:28 AM,smoneill59,13.1911894076903,GA,1.0,99.9634191156,4,0.472451,0.25,Image,39.9315820047764,,,"smoneill59

“@JC7109: Fun Facts.... #my2k #tcot
#mapoli #p2 http://t.co/k6Tb29BE”
He don't care.",1035,,4145.10888671875,4935.45751953125
Big_CB_42,Big_CB_42,0,0.000538,0.666666666666667,http://twitter.com/Big_CB_42,Open Twitter Page for This Person,"Max and Julia's dad, Lori's hubby, proud VT grad... Go Hokies, long suffering Dolphins fan, loyal member of the GOP",1.4E-05,4,134,60,680,http://a0.twimg.com/profile_images/2920618270/2232d94789e48c0ad9b853251b12d127_normal.jpeg,2,10/21/2012 1:17:59 AM,Big_CB_42,2.67002594625895,parts unknown,1.0,99.9949889199452,4,0.330935,0.333333333333333,Image,15.8262441102433,,,"Big_CB_42

RT @JC7109: Obama Fun Facts.....
#my2k #tcot #mapoli http://t.co/ZkBMoDSA",542,,1260.689453125,5494.41845703125
areyou0,areyou0,6138.96586,0.000622,0.19315188762072,http://twitter.com/areyou0,Open Twitter Page for This Person,I am a full supporter of my President Barack Obama! any RT I do does not necessarily mean that I agree.,0.006052,4017,560,760,28,http://a0.twimg.com/profile_images/2761123238/ae80c094b025cf4543e5bc3874102eb2_normal.jpeg,68,10/21/2012 12:22:13 AM,areyou0,22.1536619859467,,2.0,99.936526319306,43,2.307143,0.602941176470588,Image,60.4657587297489,,,"areyou0

Secretary Hillary Rodham Clinton
on a side note I would ask that
you would consider running for
president of the United States
in 2016 #My2k",15458,,8163.78662109375,6700.67626953125
EdW317,EdW317,0,0.00046,0,http://twitter.com/EdW317,Open Twitter Page for This Person,"317 Fire Photogrpahy, vol Maysville Fire & EMS, MudrRazzi photography, and I do sales for a real job.",3E-06,918,779,292,603,http://a0.twimg.com/profile_images/3042468730/60ecbcdcb682f0164da9f07ba0e990f9_normal.jpeg,1,3/23/2009 12:13:35 AM,EdW317,9.12745960512689,"Maysville, NC",1.0,99.9756127437334,2,0.323177,0,Image,30.6210546698509,Eastern Time (US & Canada),-18000,"EdW317

RT @JC7109: Obama Fun Facts.....
#my2k #tcot #mapoli http://t.co/ZkBMoDSA",1665,http://webMUDSter.com,3758.30151367188,1968.66271972656
CateTX,CateTX,647.76716,0.000623,0.21031746031746,http://twitter.com/CateTX,Open Twitter Page for This Person,"Wife, mother, businesswoman and die hard Reagan Conservative",0.000109,385,1390,774,194,http://a0.twimg.com/profile_images/2967091649/c5c26146b401dff664f49d9cc6913420_normal.png,16,1/31/2012 8:27:59 PM,CateTX,22.5433347067405,Dallas/Ft. Worth Texas,1.0,99.9353570672932,29,1.170936,0.535714285714286,Image,61.358549022139,Central Time (US & Canada),-21600,"CateTX

RT @JC7109: Fun Facts.... #my2k
#tcot #mapoli #p2 http://t.co/i7EX2E3s",1201,,2815.71118164063,5914.2109375
Robynn9436,Robynn9436,37.305028,0.000571,0.311111111111111,http://twitter.com/Robynn9436,Open Twitter Page for This Person,Proud to say I voted for Romney!! Proud to be conservative. Auntie to three amazing kids. Pro-life. Suck at writing bios. #I stand with Israel!!,3.5E-05,247,545,342,393,http://a0.twimg.com/profile_images/2397891037/image_normal.jpg,6,12/11/2011 7:46:32 PM,Robynn9436,10.519147893676,Maine,1.0,99.9714368436877,11,0.537811,0.5,Image,33.809591428387,,,"Robynn9436

RT @JC7109: Fun Facts.... #my2k
#tcot #mapoli #p2 http://t.co/i7EX2E3s",2016,,2210.65966796875,3053.46752929688
WindyCityPD,WindyCityPD,12.718107,0.000562,0.25,http://twitter.com/WindyCityPD,Open Twitter Page for This Person,Searching for Bigfoot,3E-05,17,392,354,453,http://a0.twimg.com/profile_images/3074308526/9d6a69c22dd124a1ef64684a204e227e_normal.jpeg,1,9/14/2012 5:00:37 PM,WindyCityPD,10.8531530829278,Windy City / ChIRAQ,1.0,99.9704346276768,5,0.35754,0,Image,34.5748402504357,,,"WindyCityPD

RT @JC7109: Fun Facts.... #my2k
#tcot #mapoli #p2 http://t.co/i7EX2E3s",1482,,3785.53442382813,3852.90942382813
Skunky66613,Skunky66613,3.904776,0.000569,0.305555555555556,http://twitter.com/Skunky66613,Open Twitter Page for This Person,"I'm a super-strong Conservative (Heads up 4 those who can't handle diversity). Snark, Fun, Laughs, Weirdness & Darkness live here as well!",4E-05,11420,564,519,494,http://a0.twimg.com/profile_images/3055763055/93eb1152dd948a3ef3e23f193bdb6636_normal.jpeg,7,3/20/2012 3:00:30 AM,Skunky66613,15.4457244351399,USA,1.0,99.9566541575261,10,0.487307,0.666666666666667,Image,45.0970115536049,,,"Skunky66613

RT @JC7109: Obama Fun Facts.....
#my2k #tcot #mapoli http://t.co/ZkBMoDSA",12496,,1655.35852050781,4103.09765625
della1946,della1946,946.578195,0.000612,0.207058823529412,http://twitter.com/della1946,Open Twitter Page for This Person,I WANT OBAMA OUT OF THE WHITE HOUSE!,0.000116,867,2656,2493,161,http://a0.twimg.com/profile_images/3023363378/8443702aafd60b8c7831a8fa6b8e7128_normal.png,34,6/6/2009 7:10:55 PM,della1946,70.3895780670594,,1.0,99.7917896237236,42,1.985586,0.450980392156863,Image,170.980442780611,Eastern Time (US & Canada),-18000,"della1946

RT @Sanddragger: #Obozo you will
never be my President. You are
a #liar and a complete #fraud.
#my2k #benghazi #democrat #tgdn",61402,,2981.37426757813,3642.64892578125
