Node_Name,Node_Title,louvain
REX_GRAVES,REX_GRAVES,1
smoneill59,smoneill59,1
Big_CB_42,Big_CB_42,1
areyou0,areyou0,2
EdW317,EdW317,1
CateTX,CateTX,1
Robynn9436,Robynn9436,1
WindyCityPD,WindyCityPD,1
Skunky66613,Skunky66613,1
della1946,della1946,1
JayMichonski,JayMichonski,1
JC7109,JC7109,1
sheilaaj,sheilaaj,1
tudboy1,tudboy1,1
mrsswish1,mrsswish1,1
KlassenL,KlassenL,2
jlrowe,jlrowe,1
F_Wad7,F_Wad7,3
DNewbille,DNewbille,1
mella888XOWNERS,mella888XOWNERS,3
Ltroth2011,Ltroth2011,1
mrwhans,mrwhans,3
bingbing3e21,bingbing3e21,1
PaulStewartII,PaulStewartII,2
Washhanger,Washhanger,2
ohboyroy43,ohboyroy43,3
mykatmikey,mykatmikey,2
ForeverReagan,ForeverReagan,1
r0yce1,r0yce1,4
Kerryepp,Kerryepp,1
KarenJourden,KarenJourden,1
CollinsOnTop,CollinsOnTop,1
THEjoereames,THEjoereames,1
pammeech,pammeech,1
TaylorBusseyy,TaylorBusseyy,1
WeberLuke,WeberLuke,1
pattycakeps,pattycakeps,2
bugg_ray,bugg_ray,2
TexasteaPeggy,TexasteaPeggy,1
BludDimon,BludDimon,2
vooda1,vooda1,2
BlueballsNina,BlueballsNina,1
Welles19,Welles19,1
PeterMAbraham,PeterMAbraham,1
my2k,my2k,5
esd2000,esd2000,2
albinwonderland,albinwonderland,5
rozzie726,rozzie726,2
debbiedeegan,debbiedeegan,2
shawncrystal,shawncrystal,5
Le0nJ0seph,Le0nJ0seph,1
WINNINGUGLY2012,WINNINGUGLY2012,2
FreeGlass,FreeGlass,5
thebighoot,thebighoot,1
hobelman69,hobelman69,1
Zebraz5inTexas,Zebraz5inTexas,2
Annebellasays,Annebellasays,1
Iwritesongs4me,Iwritesongs4me,2
financetoxic,financetoxic,3
luxembourgnews,luxembourgnews,6
news_luxembourg,news_luxembourg,6
oecdtoxic,oecdtoxic,6
news_europe,news_europe,6
toxicpierre,toxicpierre,6
luxembourg_news,luxembourg_news,6
politoxic,politoxic,6
eutoxic,eutoxic,6
KellyDian,KellyDian,1
BethKujala,BethKujala,3
Boomergirls,Boomergirls,1
RonHall46,RonHall46,2
bonedogsBot,bonedogsBot,3
onesoldiersmom,onesoldiersmom,1
LYNNKANSASCITY,LYNNKANSASCITY,3
LawDMac,LawDMac,1
jessiesarah,jessiesarah,5
letat_lechat,letat_lechat,2
crhousel,crhousel,2
cliffbaker9,cliffbaker9,2
gotdem,gotdem,2
thomasj17431826,thomasj17431826,1
BlueMaze,BlueMaze,1
saramarietweets,saramarietweets,1
TheBrennerBrief,TheBrennerBrief,1
Richmartinus,Richmartinus,1
HurdBobhurd1,HurdBobhurd1,1
AmPriorities,AmPriorities,1
GOPPrimary,GOPPrimary,1
Beatromney,Beatromney,2
TeaPartier_Al,TeaPartier_Al,1
bayonnebernie,bayonnebernie,2
SpaceboyMB,SpaceboyMB,5
DirkThompson,DirkThompson,1
sanaijustyce,sanaijustyce,2
PS1350,PS1350,3
liberalvote,liberalvote,7
toddqm,toddqm,2
JTDakota,JTDakota,3
ChathamDems,ChathamDems,3
David_Architect,David_Architect,8
Politics_PR,Politics_PR,2
rmarysel,rmarysel,2
Sanddragger,Sanddragger,1
AFM0455,AFM0455,1
Ricletts,Ricletts,3
hourglassman,hourglassman,3
coach215,coach215,2
Laurence4LiberT,Laurence4LiberT,1
budholly59,budholly59,2
DarkBlue4Ever,DarkBlue4Ever,2
BillEswine,BillEswine,1
Libertymeme,Libertymeme,1
ManifoldGlue,ManifoldGlue,1
KnowDTruth44,KnowDTruth44,2
mrtom2360,mrtom2360,5
LeeDbrisonjr,LeeDbrisonjr,1
WillyGlen,WillyGlen,1
boogiefinger,boogiefinger,1
Morningglorycof,Morningglorycof,9
GregWHoward,GregWHoward,1
Bud1miSScrub32,Bud1miSScrub32,1
NaNa316,NaNa316,1
eponine1949,eponine1949,1
lawlynn33,lawlynn33,1
MickeyJohnson07,MickeyJohnson07,1
rockson,rockson,1
Fsmth45Faye,Fsmth45Faye,1
Earlaverne,Earlaverne,1
2009superglide,2009superglide,1
StarsNtime,StarsNtime,1
GibsonKB,GibsonKB,3
cpeppler,cpeppler,1
aimee_sweeney,aimee_sweeney,1
judyme3,judyme3,1
nhdogmom,nhdogmom,2
shigrin,shigrin,2
RegisterFirst,RegisterFirst,2
mmcss,mmcss,2
debiphillips,debiphillips,2
katbeewhite,katbeewhite,2
JesusCoins,JesusCoins,1
cmdorsey,cmdorsey,1
suhrmesa,suhrmesa,1
jerri_wolf,jerri_wolf,1
carts54,carts54,1
oflemon,oflemon,9
MTOrgProject,MTOrgProject,9
lehimesa,lehimesa,2
Th3M3r0v1nGiAn,Th3M3r0v1nGiAn,1
kahn331,kahn331,2
siderophor,siderophor,3
Wyliecowboy,Wyliecowboy,1
PamelajVirginia,PamelajVirginia,1
vonni1968,vonni1968,1
RWBEagle,RWBEagle,1
keriRN,keriRN,2
Ron_GriffithsJr,Ron_GriffithsJr,1
MadVoterInMN,MadVoterInMN,1
RichardRSmithJr,RichardRSmithJr,1
pfoad,pfoad,1
jrios68,jrios68,1
gapo67,gapo67,1
exodus_2011,exodus_2011,1
NoJobsNoPeace,NoJobsNoPeace,1
jeff28w,jeff28w,1
Song4Jazz,Song4Jazz,2
damspahn,damspahn,2
gopmommy,gopmommy,1
indalay1952,indalay1952,1
PinkkrushG,PinkkrushG,1
tironsi75fromNJ,tironsi75fromNJ,2
Eyesbtrolling,Eyesbtrolling,1
Mozi_N,Mozi_N,2
Prettypatty9,Prettypatty9,2
nescdem,nescdem,2
INIVISIBLE,INIVISIBLE,2
prc4aam,prc4aam,2
johnfurmanutica,johnfurmanutica,2
mortgageconsult,mortgageconsult,2
Lavender4Peace,Lavender4Peace,2
CDonthelake,CDonthelake,2
bobbiebarnhill,bobbiebarnhill,2
TheSonyaB,TheSonyaB,3
rich3438,rich3438,2
PatrickECooley,PatrickECooley,2
CAFalk,CAFalk,2
Truthbuster,Truthbuster,2
Susan_Palmer_64,Susan_Palmer_64,2
teachermom50,teachermom50,2
EnigmaNetxx,EnigmaNetxx,2
LadyM3033,LadyM3033,2
miracle2x,miracle2x,2
Jodjac33,Jodjac33,2
TimKahanek,TimKahanek,1
roz233,roz233,2
lavenderblue27,lavenderblue27,2
rencal4,rencal4,1
netminnow,netminnow,2
DaleF3,DaleF3,2
billgcta,billgcta,2
Progress2day,Progress2day,2
jodoservdeum7,jodoservdeum7,2
ccc1964,ccc1964,2
Panic_Report,Panic_Report,1
BMarsenison,BMarsenison,1
adri16,adri16,2
ZimJay,ZimJay,2
Papa_Gage,Papa_Gage,2
hardknoxfirst,hardknoxfirst,2
janbroni,janbroni,2
howard5591,howard5591,2
TPNNtweets,TPNNtweets,1
Olgold96,Olgold96,1
rpeter99,rpeter99,1
wdett,wdett,1
Serg_Gonzo,Serg_Gonzo,2
Imadancer821,Imadancer821,1
lafloran,lafloran,2
tootswee,tootswee,2
PattieCurran,PattieCurran,1
JaseSayre,JaseSayre,1
AaronLefort,AaronLefort,1
auntoona,auntoona,2
Genie2,Genie2,2
GABBI4CHRIST,GABBI4CHRIST,1
billk77,billk77,1
NanaOxford,NanaOxford,1
kevindandy1,kevindandy1,1
swell,swell,2
BJUmholtz,BJUmholtz,1
mike985,mike985,3
mistere777,mistere777,1
LiberalLogick,LiberalLogick,2
UnshackleUS,UnshackleUS,2
cbaumer10,cbaumer10,2
LDWood05,LDWood05,2
discombed,discombed,2
1_WILD_WOMAN,1_WILD_WOMAN,1
theindigi,theindigi,5
comancheblood,comancheblood,2
greenleeves,greenleeves,2
Bassmavrik,Bassmavrik,1
lloydthomas4,lloydthomas4,2
RootsReboot,RootsReboot,3
occupybot,occupybot,2
oakAsfan24,oakAsfan24,2
STFUEveryone,STFUEveryone,2
lunatic63,lunatic63,1
GOPfashionista,GOPfashionista,1
nutzodriven,nutzodriven,1
DrexHawken,DrexHawken,1
Plmyers,Plmyers,1
blacklupin,blacklupin,2
debco430,debco430,1
